Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
4/17/2009,625370, ,190111,-33112,-782369
4/18/2009, ,-135526,170998,-35471.5,0
4/19/2009, ,-118481,157636,-39155.5,0
4/20/2009,303865, ,536974,-35971.2,-804868
4/21/2009, ,-851911,1147317,82714.6,-378121
4/22/2009, ,-244353,522182,96422,-374250
4/23/2009, ,-55597.8,464263,-19415.8,-389249
4/24/2009,369804, ,446176,-29981.6,-785998
4/25/2009, ,-360631,398999,-38367.6,0
4/26/2009, ,-275783,336926,-53643,-7499.52
4/27/2009,553956, ,282442,-57899.6,-778499
4/28/2009, ,-169556,229036,-59480,0
4/29/2009, ,-128480,181475,-52994.6,0
4/30/2009, ,-113643,154304,-40660.7,0
5/1/2009, ,-151446,189269,-37823.3,0
5/2/2009, ,-148315,155859,-7544.43,0
5/3/2009, ,-101495,135552,-34057.1,0
5/4/2009, ,-104173,144647,-40473.4,0
5/5/2009, ,-175876,202115,-26238.9,0
5/6/2009, ,-402064,397693,4371.04,0
5/7/2009, ,-665168,606796,58372,0
5/8/2009, ,-780218,743408,36810.1,0
5/9/2009, ,-924435,897850,26585.3,0
5/10/2009, ,-620006,603746,16259.7,0
5/11/2009,168301, ,521408,-38460.2,-651249
5/12/2009,406760, ,431640,-37403.2,-800997
5/13/2009,487006, ,342918,-40055.2,-789869
5/14/2009, ,-518932,1360259,-43958.8,-797368
5/15/2009, ,-243933,831575,183357,-770999
5/16/2009, ,-4289740,4325430,-35684.9,0
5/17/2009, ,-1378700,1937344,372391,-931035
5/18/2009,132419, ,1216770,-24131.2,-1325060
5/19/2009,512672, ,843990,-34439.5,-1322220
5/20/2009,728618, ,606766,-39638.7,-1295750
5/21/2009,642415, ,449477,-51394,-1040500
5/22/2009,511796, ,316329,-57125.6,-770999
5/23/2009,420589, ,318371,-57712.9,-681247
5/24/2009,378721, ,314614,-23216.1,-670118
5/25/2009,474609, ,216995,-28984.9,-662619
5/26/2009, ,-180363,1010865,-48132.7,-782369
5/27/2009, ,-20567.4,662249,151816,-793498
5/28/2009, ,-12965.4,874207,-19118.1,-842124
5/29/2009, ,-2237080,2483199,34508.9,-280627
5/30/2009, ,-1458160,1289639,168517,0
5/31/2009, ,-893730,943590,-49859.9,0
6/1/2009, ,-44565.7,673354,-44793.4,-583995
6/2/2009,355322, ,495192,-42017.6,-808497
6/3/2009,463568, ,392755,-55326.2,-800997
6/4/2009,535205, ,285032,-30368.7,-789869
6/5/2009,611168, ,231894,-49564.2,-793498
6/6/2009,681219, ,179028,-44251.5,-815996
6/7/2009,708045, ,154472,-57648.6,-804868
6/8/2009,1139780, ,211920,-56012.9,-1295690
6/9/2009, ,-748568,748199,3998.28,-3628.8
6/10/2009, ,-420717,258823,184216,-22322.7
6/11/2009, ,-779143,863313,-65110.5,-19059.1
6/12/2009, ,-627846,724566,101461,-198181
6/13/2009,221311, ,1671183,-5524.05,-1886970
6/14/2009,221311, ,1757048,104895,-2083250
6/15/2009,221311, ,2360280,25840.7,-2607430
6/16/2009,221311, ,1270734,144522,-1636570
6/17/2009,221311, ,1350181,-54926.5,-1516570
6/18/2009,221311, ,3356280,59761.4,-3637350
6/19/2009,221311, ,1595985,278149,-2095450
6/20/2009,221311, ,3901250,-57934.8,-4064630
6/21/2009,221311, ,2643623,297618,-3162550
6/22/2009,221311, ,1253518,31634.2,-1506460
6/23/2009,221311, ,716129,-59804.5,-877636
6/24/2009,221311, ,517323,-60925.3,-677709
6/25/2009,221311, ,574240,-52539.8,-743012
6/26/2009,287045, ,777456,-83.1845,-1064420
6/27/2009,504427, ,704533,86838.1,-1295800
6/28/2009,862647, ,430541,2440.35,-1295630
6/29/2009,1017504, ,332932,-54853.3,-1295580
6/30/2009,408424, ,939757,-52415.2,-1295770
7/1/2009,445834, ,598072,123842,-1167750
7/2/2009,389466, ,797162,-45007.7,-1141620
7/3/2009,507023, ,617573,9525.1,-1134120
7/4/2009,725147, ,450245,-37399.8,-1137990
7/5/2009,540633, ,349594,-55603.2,-834624
7/6/2009,475951, ,368271,-54352.7,-789869
7/7/2009, ,-352819,764372,-25932.9,-385620
7/8/2009, ,-516844,440886,75958.5,0
7/9/2009, ,-282119,336119,-53999.3,0
7/10/2009, ,-209078,262840,-53762.3,0
7/11/2009, ,-871596,931557,-59961.2,0
7/12/2009, ,-169350,517532,110462,-458644
7/13/2009,221311, ,424490,-52465.5,-593336
7/14/2009,221311, ,347919,-52704.3,-516526
7/15/2009,221311, ,271210,-50090.4,-442431
7/16/2009,221311, ,447309,-54563.5,-614057
7/17/2009,221311, ,1974479,33639.3,-2229430
7/18/2009,221311, ,977990,218425,-1417730
7/19/2009,221311, ,632498,-57911.2,-795898
7/20/2009,221311, ,447545,-56022.5,-612834
7/21/2009,221311, ,597178,-59593.6,-758896
7/22/2009,221311, ,405556,4462.91,-631331
7/23/2009,221311, ,337576,-60184.8,-498702
7/24/2009,221311, ,452160,-53865.4,-619606
7/25/2009,221311, ,409015,6110.16,-636437
7/26/2009,221311, ,300838,-16041.3,-506108
7/27/2009,221311, ,268813,-47662,-442463
7/28/2009,221311, ,225731,-41988.2,-405054
7/29/2009,221311, ,6857390,-53453.9,-7025250
7/30/2009,221311, ,2445650,703001,-3369960
7/31/2009,221311, ,6308540,-24620.5,-6505230
8/1/2009,221311, ,2465049,280705,-2967070
8/2/2009,221311, ,2685222,-59362.4,-2847170
8/3/2009,221311, ,1407939,113997,-1743250
8/4/2009,221311, ,835107,-59336.2,-997082
8/5/2009,622550, ,598759,-61060.8,-1160250
8/6/2009,826828, ,371001,-45080.4,-1152750
8/7/2009,563750, ,279690,-49941.8,-793498
8/8/2009,625965, ,226024,-50992.5,-800997
8/9/2009, ,-106412,961202,-49922.6,-804868
8/10/2009, ,-811348,1350884,250333,-789869
8/11/2009,109723, ,556457,119818,-785998
8/12/2009, ,-60565.1,1053637,-62006.2,-931066
8/13/2009,221311, ,769815,36326.3,-1027450
8/14/2009,221311, ,638720,-31857.8,-828174
8/15/2009,341194, ,500859,-52184.6,-789869
8/16/2009,441104, ,418997,-62732.8,-797368
8/17/2009,564117, ,307637,-55758.1,-815996
8/18/2009, ,-1560.22,452632,-65451.3,-385620
8/19/2009,52537, ,319171,21412.4,-393120
8/20/2009,200832, ,240025,-55236.3,-385620
8/21/2009, ,-49044,2174919,-60181.6,-2065690
8/22/2009,221311, ,2832167,362557,-3416040
8/23/2009,221311, ,1737100,151949,-2110360
8/24/2009,221311, ,1163014,-16406.8,-1367920
8/25/2009,221311, ,844062,-51955.5,-1013420
8/26/2009,221311, ,636487,-53689.1,-804109
8/27/2009,221311, ,472859,-44705.2,-649465
8/28/2009,221311, ,1065935,-45827.2,-1241420
8/29/2009,221311, ,1032822,106673,-1360810
8/30/2009,221311, ,573515,21043.9,-815870
8/31/2009,525286, ,394982,-48146.7,-872122
9/1/2009,113118, ,311943,-39441.1,-385620
9/2/2009,164330, ,264062,-39142.9,-389249
9/3/2009,212430, ,231320,-43130.6,-400620
9/4/2009,635361, ,207999,-45991.4,-797368
9/5/2009, ,-135496,183308,-47812.2,0
9/6/2009,34149.7, ,165767,-48322.9,-151593
9/7/2009,221311, ,154464,-44586.7,-331189
9/8/2009,676558, ,146214,-44272.6,-778499
9/9/2009,543263, ,139790,-46802.7,-636250
9/10/2009,553990, ,134590,-44831.9,-643749
9/11/2009,279226, ,384228,-38332.5,-625121
9/12/2009, ,-385731,290676,95054.9,0
9/13/2009, ,-201749,204843,-3094.36,0
9/14/2009,486671, ,209364,-44785.7,-651249
9/15/2009,352606, ,207630,-39865.5,-520370
9/16/2009,330235, ,231388,-41252.8,-520370
9/17/2009,224113, ,323559,-23673.3,-523999
9/18/2009,241375, ,254535,24459.5,-520370
9/19/2009, ,-174238,211238,-36999.5,0
9/20/2009, ,-49269.3,178278,-31679.9,-97328.4
9/21/2009,466791, ,155434,-34600.5,-587624
9/22/2009, ,-24167.7,138874,-38392.1,-76314.1
9/23/2009,577061, ,158497,-43183,-692375
9/24/2009,610087, ,129157,-24369.9,-714874
9/25/2009,639984, ,118638,-39877.4,-718744
9/26/2009, ,-471124,501092,-29968.2,0
9/27/2009, ,-249450,1225025,145420,-1120990
9/28/2009,221311, ,814689,145373,-1181370
9/29/2009,221311, ,712148,339.455,-933799
9/30/2009,221311, ,667310,-22933.2,-865688
10/1/2009,221311, ,589728,-20968.5,-790071
10/2/2009, ,-111570,797702,-20723.8,-665408
10/3/2009, ,-111570,780822,38024.8,-707277
10/4/2009, ,-111570,530431,-5965.4,-412895
10/5/2009,382559, ,354716,-33529.4,-703745
10/6/2009,198120, ,388895,-29389.7,-557626
10/7/2009,18948.7, ,526264,12412.9,-557626
10/8/2009,172705, ,344301,36991.1,-553997
10/9/2009, ,-148150,714493,-27345.1,-538998
10/10/2009, ,-506077,426514,79562.6,0
10/11/2009, ,-331211,358008,-26797.2,0
10/12/2009,287834, ,375695,-23408.5,-640120
10/13/2009,198588, ,375927,-1890.94,-572625
10/14/2009,254321, ,313836,839.031,-568996
10/15/2009,211129, ,384392,-19025.5,-576495
10/16/2009, ,-65631.3,323157,26972.2,-284498
10/17/2009, ,-304980,305039,-58.7999,0
10/18/2009, ,-262255,262123,131.377,0
10/19/2009, ,-218220,230926,-12706,0
10/20/2009,765255, ,203187,-17696.4,-950746
10/21/2009,833974, ,178702,-24432.5,-988243
10/22/2009,828802, ,159550,-26478.1,-961874
10/23/2009,572577, ,415920,-30251.9,-958245
10/24/2009, ,-5119690,7368360,82543,-2331210
10/25/2009, ,-111570,2162630,684777,-2735840
10/26/2009, ,-111570,1775215,-22273.4,-1641370
10/27/2009, ,-111570,1849054,-21310.2,-1716170
10/28/2009, ,-111570,5076870,44211.3,-5009510
10/29/2009, ,-111570,2504886,366519,-2759830
10/30/2009, ,-111570,1445572,-22946.3,-1311060
10/31/2009, ,-111570,1201402,-22372.2,-1067460
11/1/2009, ,-111570,764134,29025.9,-681590
11/2/2009, ,-111570,509869,-6230.76,-392068
11/3/2009, ,-111570,386503,-17524.7,-257408
11/4/2009, ,-111570,314445,-18497.2,-184378
11/5/2009, ,-111570,283191,-15232.7,-156388
11/6/2009, ,-111570,236595,-1753.09,-123271
11/7/2009, ,-111570,218887,-9746.32,-97570.6
11/8/2009, ,-111570,202812,-11919.3,-79322.1
11/9/2009, ,-111570,187700,-19785.6,-56343.8
11/10/2009, ,-111570,176853,-22340.5,-42942.7
11/11/2009, ,-111570,168238,-22376.5,-34291
11/12/2009, ,-111570,161120,-16810,-32740.2
11/13/2009, ,-111570,195320,-16127.6,-67621.8
11/14/2009, ,-111570,485839,2959.25,-377228
11/15/2009, ,-111570,269917,62762.8,-221110
11/16/2009,695964, ,279269,-24487.3,-950746
11/17/2009,1029516, ,282986,-16642,-1295860
11/18/2009,1030531, ,280054,-14732.7,-1295850
11/19/2009,487785, ,823156,-15160,-1295780
11/20/2009, ,-1312050,2476772,130998,-1295720
11/21/2009, ,-305061,1406224,194619,-1295780
11/22/2009,318164, ,993562,-15944.3,-1295780
11/23/2009,563063, ,747977,-15221.3,-1295820
11/24/2009,721735, ,588827,-14735.4,-1295830
11/25/2009,168953, ,615730,-17313.1,-767370
11/26/2009,267561, ,491322,12116.4,-770999
11/27/2009, ,-437134,453709,-16575.4,0
11/28/2009, ,-354547,352215,2332.29,0
11/29/2009, ,-274644,278463,-3818.91,0
11/30/2009, ,-300763,313137,-12373.7,0
12/1/2009, ,-263048,243113,19935.8,0
12/2/2009, ,-805752,815730,-9977.61,0
12/3/2009, ,-3238530,3225590,159874,-146931
12/4/2009, ,-111570,1475526,300505,-1664460
12/5/2009, ,-111570,1509594,-13143.7,-1384880
12/6/2009, ,-111570,1137932,18887.7,-1045250
12/7/2009, ,-111570,904753,-7636.98,-785546
12/8/2009, ,-111570,716420,-7861.22,-596989
12/9/2009, ,-111570,1244693,-8793.23,-1124330
12/10/2009, ,-111570,808226,150471,-847127
12/11/2009, ,-111570,536879,-8017.75,-417291
12/12/2009, ,-111570,406702,-5813.14,-289319
12/13/2009, ,-111570,363142,-6498.25,-245074
12/14/2009, ,-111570,290691,8640.56,-187761
12/15/2009, ,-111570,294281,-10474.8,-172236
12/16/2009,836264, ,243502,-3207.22,-1076560
12/17/2009,1084877, ,218416,-7511.65,-1295780
12/18/2009,1099549, ,201663,-5384.64,-1295830
12/19/2009,1112720, ,188870,-5786.12,-1295800
12/20/2009,1124458, ,178527,-7126.34,-1295860
12/21/2009,955706, ,169709,-6293.39,-1119120
12/22/2009,1000257, ,162231,-5868.24,-1156620
12/23/2009,1025667, ,155487,-5906.48,-1175250
12/24/2009,608038, ,149464,-5130.03,-752371
12/25/2009,615672, ,143842,-7142.49,-752371
12/26/2009,241535, ,496956,-8617.93,-729873
12/27/2009,48960.3, ,591159,93624.1,-733743
12/28/2009, ,-236465,211713,58378.8,-33626.9
12/29/2009, ,-207871,216586,-8714.8,0
12/30/2009, ,-216063,221415,-5351.85,0
12/31/2009, ,-217678,223166,-5487.62,0
1/1/2010, ,-213699,221727,-8028.45,0
1/2/2010, ,-210078,218664,-8585.8,0
1/3/2010, ,-200637,205927,-5290.32,0
1/4/2010, ,-182140,187021,-4881.27,0
1/5/2010, ,-165693,171449,-5755.35,0
1/6/2010, ,-152290,158440,-6149.52,0
1/7/2010, ,-140336,147449,-7112.91,0
1/8/2010, ,-130386,138342,-7955.17,0
1/9/2010, ,-124620,130931,-6311.04,0
1/10/2010, ,-119788,124700,-4911.85,0
1/11/2010, ,-114113,119215,-5101.93,0
1/12/2010, ,-108132,114320,-6187.89,0
1/13/2010, ,-103324,109928,-6604.16,0
1/14/2010, ,-98777.2,105882,-7104.86,0
1/15/2010, ,-93673.2,102078,-8405.24,0
1/16/2010, ,-87841,98516.4,-10675.4,0
1/17/2010, ,-227021,237094,-10072.7,0
1/18/2010, ,-132431,110126,22305.4,0
1/19/2010, ,-105914,117460,-11546.9,0
1/20/2010, ,-95877.1,100841,-4964.31,0
1/21/2010, ,-90501.2,98894.4,-8393.2,0
1/22/2010, ,-88330.3,96946.7,-8616.4,0
1/23/2010, ,-86512.1,95028.8,-8516.71,0
1/24/2010, ,-753047,761423,-8376.15,0
1/25/2010, ,-4140440,4019477,120967,0
1/26/2010, ,-1208390,926968,281425,0
1/27/2010,379875, ,887913,27866.8,-1295650
1/28/2010,476067, ,829710,-10052.1,-1295730
1/29/2010,302523, ,722085,-6608.85,-1018000
1/30/2010,688066, ,612106,-4455.46,-1295720
1/31/2010,784262, ,515922,-4387.36,-1295800
2/1/2010,892908, ,408256,-5531.89,-1295630
2/2/2010,884015, ,287324,-7220.22,-1164120
2/3/2010,1083424, ,219500,-7310.32,-1295610
2/4/2010,1124786, ,179136,-8091.41,-1295830
2/5/2010,1025446, ,153669,-7496.52,-1171620
2/6/2010,1038645, ,136747,-7644.46,-1167750
2/7/2010,1060640, ,125014,-6535.44,-1179120
2/8/2010,1065524, ,116435,-6711.55,-1175250
2/9/2010,830279, ,109805,-7966.01,-932118
2/10/2010,687129, ,104398,-9157.36,-782369
2/11/2010,702397, ,99859.3,-8759.06,-793498
2/12/2010,706321, ,95916.1,-8739.46,-793498
2/13/2010, ,-83993,92430.6,-8437.63,0
2/14/2010, ,-65370.3,89247.7,-7922.63,-15954.8
2/15/2010,703656, ,99210.9,-9369.73,-793498
2/16/2010,311640, ,103127,-10519.1,-404248
2/17/2010,331597, ,82100.7,-9449.2,-404248
2/18/2010,243455, ,185578,-9786.25,-419247
2/19/2010,268127, ,462283,55587.9,-785998
2/20/2010, ,-804547,702400,102147,0
2/21/2010, ,-395365,244779,150586,0
2/22/2010,512076, ,287436,-13513.4,-785998
2/23/2010, ,-1073570,1449891,27924.2,-404248
2/24/2010, ,-1615760,1428250,187515,0
2/25/2010, ,-1007990,913732,94262.9,0
2/26/2010, ,-840899,853401,-12501.8,0
2/27/2010, ,-1639500,1613741,25763.5,0
2/28/2010, ,-1796070,1709406,86664.4,0
3/1/2010, ,-3159740,3015990,143748,0
3/2/2010, ,-4509970,4320740,189234,0
3/3/2010, ,-3825650,3593810,231840,0
3/4/2010, ,-3800100,3899426,185698,-285027
3/5/2010, ,-111570,1600033,121913,-1610380
3/6/2010, ,-111570,2082629,-10407.8,-1960650
3/7/2010, ,-111570,2551427,80650.7,-2520510
3/8/2010, ,-111570,3020214,81975.9,-2990620
3/9/2010, ,-111570,3521526,-6750.24,-3403210
3/10/2010, ,-111570,3717916,-21741.9,-3584600
3/11/2010, ,-111570,3562424,-23281.3,-3427570
3/12/2010, ,-111570,2362071,-25487.4,-2225010
3/13/2010, ,-111570,4984775,48202.6,-4921410
3/14/2010, ,-111570,3838758,204417,-3931600
3/15/2010, ,-111570,2586649,82618.4,-2557700
3/16/2010, ,-111570,1921392,-21316.6,-1788510
3/17/2010, ,-111570,1176583,-19783.2,-1045230
3/18/2010, ,-40032.6,882467,-26438.2,-815996
3/19/2010, ,-183108,614330,-28217.7,-403004
3/20/2010, ,-111570,451013,-30051.8,-309391
3/21/2010, ,-111570,351846,-32245.7,-208030
3/22/2010, ,-111570,3879360,-32916.2,-3734870
3/23/2010, ,-111570,1568360,458721,-1915510
3/24/2010, ,-111570,1241586,-25484.1,-1104530
3/25/2010, ,-111570,1831860,-25162.4,-1695130
3/26/2010, ,-111570,1219858,81039.2,-1189330
3/27/2010, ,-111570,962650,-17417.8,-833662
3/28/2010, ,-111570,2037557,-19228.8,-1906760
3/29/2010, ,-111570,2818081,209524,-2916030
3/30/2010, ,-111570,3674640,75014.2,-3638080
3/31/2010, ,-111570,2467309,166591,-2522330
4/1/2010, ,-111570,1457075,-9008.58,-1336500
4/2/2010, ,-111570,917823,-38016.3,-768236
4/3/2010, ,-111570,665978,-40393.7,-514014
4/4/2010, ,-111570,529696,-42284.4,-375841
4/5/2010, ,-111570,426316,-36006.5,-278739
4/6/2010,349126, ,387782,-40662,-696246
4/7/2010,1013140, ,313165,-30573.9,-1295730
4/8/2010,764475, ,581753,-50431.4,-1295800
4/9/2010,874086, ,349853,71858.1,-1295800
4/10/2010,1001746, ,322862,-28780.7,-1295830
4/11/2010,1025218, ,302062,-31462.5,-1295820
4/12/2010,633068, ,284758,-34575.7,-883250
4/13/2010,506873, ,270312,-32313.2,-744872
4/14/2010,567113, ,256275,-29890,-793498
4/15/2010,558569, ,264755,-33454.8,-789869
4/16/2010,530625, ,442950,-22829.6,-950746
4/17/2010, ,-364095,303295,60799.7,0
4/18/2010, ,-242013,278487,-25345.9,-11128.3
4/19/2010,711215, ,261445,-29413.9,-943246
4/20/2010,204991, ,247187,-32930.9,-419247
4/21/2010,223405, ,229679,-37706.9,-415377
4/22/2010,243577, ,215162,-39491.2,-419247
4/23/2010,209705, ,202010,-37464.2,-374250
4/24/2010, ,-407364,442148,-34784.2,0
4/25/2010, ,-625748,549098,84149.2,-7499.52
4/26/2010, ,-632544,1050307,53981,-471744
4/27/2010, ,-425835,580448,114886,-269499
4/28/2010, ,-256868,549094,-26355.9,-265870
4/29/2010, ,-211976,501894,-24048.4,-265870
4/30/2010, ,-130847,434948,-38231,-265870
5/1/2010, ,-316408,364682,-48274.2,0
5/2/2010, ,-383906,442684,-58778,0
5/3/2010, ,-433206,471504,-38298.2,0
5/4/2010, ,-329862,392661,-14172.7,-48625.9
5/5/2010, ,-263733,289198,-25465.2,0
5/6/2010, ,-186834,237285,-50450.9,0
5/7/2010, ,-388571,527426,-45231.5,-93623
5/8/2010, ,-694344,617962,76381.5,0
5/9/2010, ,-456082,418956,37125.9,0
5/10/2010, ,-339117,368113,-28995.6,0
5/11/2010, ,-918777,951266,-32489.2,0
5/12/2010, ,-771436,648549,122887,0
5/13/2010, ,-889446,899198,-9751.98,0
5/14/2010, ,-669153,645493,23660.1,0
5/15/2010, ,-417722,470956,-53234,0
5/16/2010, ,-307308,352705,-45396.9,0
5/17/2010, ,-233647,278898,-45250.8,0
5/18/2010, ,-1258530,1308423,-49896.2,0
5/19/2010, ,-899455,753543,145912,0
5/20/2010, ,-500219,544144,-43925.4,0
5/21/2010, ,-330120,387075,-56954.3,0
5/22/2010, ,-318575,378900,-60325.6,0
5/23/2010, ,-168566,284292,-32484.5,-83241.8
5/24/2010, ,-111570,237305,-55053.2,-70681.1
5/25/2010, ,-111570,202590,-58722.6,-32296.9
5/26/2010, ,-70637.6,161536,-65478,-25420.7
5/27/2010, ,-152503,545701,-71144.1,-322054
5/28/2010, ,-111570,206060,215457,-309946
5/29/2010, ,-111570,183589,-56404.8,-15613.6
5/30/2010, ,-97881.4,163726,-59490.4,-6354.1
5/31/2010, ,-122284,185147,-62863,0
