datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average
10/31/1959,4519.686269,5382.706362,5590.739008,6174.857588,6349.941461,5590.739008,10287.6176,9932.121838,14381.01398,11624.52731,11407.57836,14381.01398,13188.99212,12743.70892,14381.01398,15315.26306,15220.23964,14381.01398,2713.529632,2702.822309,0.001001017,0.001002793,0.001004571,0.001006334,8406.50056,8406.50056,8406.50056,13121.62306,13121.62306,13121.62306,13121.62306,13121.62306
11/1/1959,4258.988809,5438.263025,5289.477297,5354.538433,5382.706362,5289.477297,9042.473411,9625.059704,12483.51339,9903.879453,9932.121838,12483.51339,11275.73578,11407.57836,12483.51339,12403.49969,12743.70892,12483.51339,2159.351963,2151.07688,0.001001017,0.001002793,0.001004571,0.001006334,8731.075666,8731.075666,8731.075666,14116.55062,14116.55062,14116.55062,14116.55062,14116.55062
11/2/1959,4842.544102,5613.302904,5899.312769,5401.381113,5438.263025,5899.312769,8865.035375,8063.136014,12048.72576,9080.194008,9625.059704,12048.72576,10453.84445,9932.121838,12048.72576,10995.39024,11407.57836,12048.72576,2514.278906,2504.453241,0.001001017,0.001002793,0.001004571,0.001006334,8424.934396,8424.934396,8424.934396,14786.98741,14786.98741,14786.98741,14786.98741,14786.98741
11/3/1959,4691.595028,5642.750116,5684.624956,5610.436708,5613.302904,5684.624956,8240.414809,6284.589675,11107.5908,8832.076768,8063.136014,11107.5908,9459.134042,9625.059704,11107.5908,10318.34361,9932.121838,11107.5908,2354.811019,2345.685342,0.001001017,0.001002793,0.001004571,0.001006334,7385.357178,7385.357178,7385.357178,14875.50457,14875.50457,14875.50457,14875.50457,14875.50457
11/4/1959,4567.296724,5518.865351,5553.542688,5638.849238,5642.750116,5553.542688,7202.059419,6143.220395,9636.489393,7895.37662,6284.589675,9636.489393,8895.605899,8063.136014,9636.489393,8757.321502,9625.059704,9636.489393,2417.766405,2408.365007,0.001001017,0.001002793,0.001004571,0.001006334,6567.917605,6567.917605,6567.917605,14291.99838,14291.99838,14291.99838,14291.99838,14291.99838
11/5/1959,4532.206916,5131.78174,5449.140802,5430.195773,5518.865351,5449.140802,7366.251855,12106.28174,9779.892857,7921.812057,6143.220395,9779.892857,8912.060431,6284.589675,9779.892857,9300.217783,8063.136014,9779.892857,2286.194712,2277.368593,0.001001017,0.001002793,0.001004571,0.001006334,5962.585953,5962.585953,5962.585953,13130.81217,13130.81217,13130.81217,13130.81217,13130.81217
11/6/1959,3747.458744,4334.391232,4191.321657,4786.951294,5131.78174,4191.321657,5756.691867,16601.95013,6854.978314,6650.034632,12106.28174,6854.978314,6622.821676,6143.220395,6854.978314,7629.388627,6284.589675,6854.978314,1124.310048,1120.366596,0.001001017,0.001002793,0.001004571,0.001006334,5425.605602,5425.605602,5425.605602,11536.50899,11536.50899,11536.50899,11536.50899,11536.50899
11/7/1959,4708.915492,10738.42526,5016.00604,4101.336062,4334.391232,5016.00604,6683.350949,22005.07317,7237.018486,6114.491377,16601.95013,7237.018486,6225.070128,12106.28174,7237.018486,5393.774541,6143.220395,7237.018486,0.000999347,0.001002807,0.001001017,0.001002793,0.001004571,0.001006334,5100.143555,5100.143555,5100.143555,10369.18599,10369.18599,10369.18599,10369.18599,10369.18599
11/8/1959,11388.64054,16257.11939,14084.2178,10684.17803,10738.42526,14084.2178,12836.52029,24432.77764,17176.38398,10896.00723,22005.07317,17176.38398,13166.47122,16601.95013,17176.38398,6837.512285,12106.28174,17176.38398,5893.397422,5867.867711,0.001001017,0.001002793,0.001004571,0.001006334,6024.917175,6024.917175,6024.917175,9803.600442,9803.600442,9803.600442,9803.600442,9803.600442
11/9/1959,12499.76591,13458.59046,16417.0968,16342.6512,16257.11939,16417.0968,16398.19824,22222.78492,23946.24869,18407.19084,24432.77764,23946.24869,19438.80494,22005.07317,23946.24869,17276.24181,16601.95013,23946.24869,8675.01126,8635.762696,0.001001017,0.001002793,0.001004571,0.001006334,7324.238879,7324.238879,7324.238879,10049.7848,10049.7848,10049.7848,10049.7848,10049.7848
11/10/1959,9434.908695,9969.629457,12201.80683,13544.79636,13458.59046,12201.80683,12223.34509,18326.0128,17478.64922,15049.78096,22222.78492,17478.64922,18093.82828,24432.77764,17478.64922,18398.01264,22005.07317,17478.64922,6303.553143,6276.035598,0.001001017,0.001002793,0.001004571,0.001006334,8427.28704,8427.28704,8427.28704,11134.27681,11134.27681,11134.27681,11134.27681,11134.27681
11/11/1959,7222.082276,8184.508699,9124.862429,10032.80101,9969.629457,9124.862429,12056.76394,15173.30596,16996.4552,14110.79802,18326.0128,16996.4552,17592.12792,22222.78492,16996.4552,20566.9616,24432.77764,16996.4552,4472.347274,4453.587603,0.001001017,0.001002793,0.001004571,0.001006334,9183.966845,9183.966845,9183.966845,13031.62828,13031.62828,13031.62828,13031.62828,13031.62828
11/12/1959,6076.326592,7019.613764,7661.769106,8238.394454,8184.508699,7661.769106,12507.24932,13017.9005,17827.89975,14137.35205,15173.30596,17827.89975,16817.71667,18326.0128,17827.89975,19975.22658,22222.78492,17827.89975,3813.823514,3798.128428,0.001001017,0.001002793,0.001004571,0.001006334,9698.726301,9698.726301,9698.726301,14731.42617,14731.42617,14731.42617,14731.42617,14731.42617
11/13/1959,5265.035734,6095.032114,6634.450006,7052.893771,7019.613764,6634.450006,11878.85935,11558.22815,16979.79577,13249.50017,13017.9005,16979.79577,15324.20562,15173.30596,16979.79577,17711.38953,18326.0128,16979.79577,3352.62688,3339.044833,0.001001017,0.001002793,0.001004571,0.001006334,10172.63656,10172.63656,10172.63656,16275.1015,16275.1015,16275.1015,16275.1015,16275.1015
