,nhm_id,reachcode,comid,long,lat
288,1678,2.0401E+12,4154496,-75.18396819,40.9874192
289,1679,2.0401E+12,4154498,-75.18396819,40.9874192
290,1681,2.0401E+12,4158246,-75.13179239,40.9905608
291,1677,2.0401E+12,4154492,-75.13179239,40.9905608
292,1672,2.0401E+12,4154310,-75.25489979,40.99113287
293,1676,2.0401E+12,4154488,-75.13990199,40.99562447
294,1671,2.0401E+12,4153716,-75.10871779,41.0038872
295,1670,2.0401E+12,4153318,-75.20778053,41.03443187
296,1466,2.04011E+12,2583379,-74.84438953,41.04999787
297,1668,2.0401E+12,4153236,-75.21994539,41.0675308
298,1669,2.0401E+12,4153238,-75.21994539,41.0675308
299,1667,2.0401E+12,4153168,-75.03063539,41.0838262
300,1666,2.0401E+12,4153166,-75.21292333,41.084125
301,1464,2.04011E+12,2583285,-74.69400959,41.0865914
302,1465,2.04011E+12,2583309,-74.69400959,41.0865914
303,1662,2.0401E+12,4151824,-74.99168593,41.0926304
304,1661,2.0401E+12,4151822,-74.99168593,41.0926304
305,1660,2.0401E+12,4151820,-74.96856799,41.0961948
306,1663,2.0401E+12,4151830,-74.96856799,41.0961948
307,1665,2.0401E+12,4153154,-75.27938553,41.0965206
308,1654,2.0401E+12,4151302,-74.96877039,41.0970974
309,1688,2.04011E+12,4186169,-75.50182233,41.1216596
310,1651,2.0401E+12,4151032,-74.86316759,41.17051307
311,1664,2.0401E+12,4152932,-75.16029859,41.18386707
312,1659,2.0401E+12,4151628,-74.80349899,41.30501247
313,1687,2.04011E+12,4185837,-75.54086559,41.0636472
314,1685,2.04011E+12,4185789,-75.59388079,41.0808324
315,1686,2.04011E+12,4185805,-75.59388079,41.0808324
316,1684,2.04011E+12,4185779,-75.60521719,41.08996367
317,1695,2.04011E+12,4186403,-75.74444079,41.10352507
318,1693,2.04011E+12,4186383,-75.71853273,41.11751727
319,1694,2.04011E+12,4186385,-75.71853273,41.11751727
320,1692,2.04011E+12,4186353,-75.64930973,41.12194647
321,1691,2.04011E+12,4186351,-75.64930973,41.12194647
322,1683,2.04011E+12,4185679,-75.64911093,41.12311427
323,1690,2.04011E+12,4186247,-75.52560253,41.182571
324,1682,2.0401E+12,4158256,-74.69570939,41.3569188
325,1658,2.0401E+12,4151524,-74.69570939,41.3569188
326,1657,2.0401E+12,4151516,-74.68641893,41.3604144
327,1597,2.0401E+12,2742850,-75.35142413,41.36362227
328,1598,2.0401E+12,2742870,-75.35142413,41.36362227
329,1596,2.0401E+12,2742844,-75.34698719,41.37073707
330,1656,2.0401E+12,4151468,-74.75456539,41.42528187
331,1655,2.0401E+12,4151446,-74.75456539,41.42528187
332,1650,2.0401E+12,4150304,-74.6038098,41.43682027
333,1653,2.0401E+12,4151216,-74.60186273,41.44043467
334,1648,2.0401E+12,4150228,-74.5930104,41.44965287
335,1649,2.0401E+12,4150230,-74.5930104,41.44965287
336,1602,2.0401E+12,2743218,-75.18529353,41.4595448
337,1647,2.0401E+12,4150156,-74.75991799,41.46092487
338,1595,2.0401E+12,2742586,-75.15522019,41.4727354
339,1601,2.0401E+12,2743198,-75.17116213,41.4752694
340,1593,2.0401E+12,2742534,-75.15485659,41.475664
341,1594,2.0401E+12,2742550,-75.15485659,41.475664
342,1600,2.0401E+12,2743192,-75.18250553,41.478527
343,1599,2.0401E+12,2743190,-75.18250553,41.478527
344,1592,2.0401E+12,2741462,-74.98573813,41.48694867
345,1583,2.0401E+12,2619256,-74.98573813,41.48694867
346,1652,2.0401E+12,4151208,-74.64517393,41.49502467
347,1646,2.0401E+12,4149932,-74.55266273,41.49967047
348,1568,2.0401E+12,2615318,-74.98434393,41.50665287
349,1582,2.0401E+12,2617554,-75.02052833,41.5543984
350,1581,2.0401E+12,2617552,-75.02052833,41.5543984
351,1589,2.0401E+12,2739776,-75.24621773,41.5609866
352,1569,2.0401E+12,2617174,-75.01504213,41.56310407
353,1588,2.0401E+12,2739772,-75.32370599,41.58213307
354,1587,2.0401E+12,2739766,-75.26686739,41.60639267
355,1641,2.0401E+12,4147634,-74.61683053,41.6240168
356,1585,2.0401E+12,2739472,-75.26386419,41.6336156
357,1586,2.0401E+12,2739748,-75.36315533,41.6477126
358,1584,2.0401E+12,2739446,-75.28179913,41.652643
359,1640,2.0401E+12,4147566,-74.78313773,41.66666967
360,1580,2.0401E+12,2617492,-75.05986053,41.6723276
361,1579,2.0401E+12,2617490,-75.05986053,41.6723276
362,1567,2.0401E+12,2615122,-74.99961013,41.7293476
363,1578,2.0401E+12,2617456,-75.05483913,41.7375268
364,1639,2.0401E+12,4147458,-74.59503253,41.752738
365,1576,2.0401E+12,2617440,-75.06033259,41.7640786
366,1577,2.0401E+12,2617442,-75.06033259,41.7640786
367,1570,2.0401E+12,2617252,-75.05977033,41.7647756
368,1638,2.0401E+12,4147432,-74.61613759,41.78955167
369,1575,2.0401E+12,2617370,-75.22513573,41.857334
370,1574,2.0401E+12,2617366,-75.22513573,41.857334
371,1573,2.0401E+12,2617324,-75.20282513,41.8695756
