datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg
2009-05-23,2265.083923611127,2461.4982616478983,2777.3460712548112,2563.1339273900103,2623.0163163710135,2777.3460712548112,4450.3405173987585,5641.883557227419,5436.0566701613425,4842.019812461977,6703.650591828387,5436.0566701613425,3797.4552233010427,3660.2018600811834,6304.326835253893,6140.040618699369
2009-05-24,1910.2780892742085,2251.9536163315747,2330.511464575672,2180.2562822094296,2461.4982616478983,2330.511464575672,4138.970467483087,5180.063817549892,5039.330979028857,4501.6528551505,5641.883557227419,5039.330979028857,3409.985300412217,3286.736460468027,6417.244498302223,6250.0157287790535
2009-05-25,2116.255975413085,2004.3376051995524,2549.450343015348,2142.740547207595,2251.9536163315747,2549.450343015348,5382.4361611332115,4799.892134380703,6496.045646468729,5522.35824187923,5180.063817549892,6496.045646468729,3117.2045194497473,3004.5378047737267,6989.02395958799,6806.895029135198
2009-05-26,1927.6947843014568,2117.952677660067,2305.571106799798,2128.882354518144,2004.3376051995524,2305.571106799798,5286.801793705664,3711.4637337089825,6361.217482815693,5601.9386306964325,4799.892134380703,6361.217482815693,2900.2787228991283,2795.452468056058,6782.026550208586,6605.291823151684
2009-05-27,1384.1583794772282,1581.7112146460008,1640.691404994346,1757.9868170965892,2117.952677660067,1640.691404994346,3997.7082032236794,3926.694362231533,4801.337401015074,4467.205805306371,3711.4637337089825,4801.337401015074,3495.1907928996548,3368.8623273322455,6889.806009091554,6710.2626269656985
2009-05-28,1727.731686791188,1270.3703549383451,2057.4796790117457,1656.5684746007807,1581.7112146460008,2057.4796790117457,4133.518082292908,4587.133672469568,4970.157855574997,4152.972118576075,3926.694362231533,4970.157855574997,3239.013962081182,3121.9446265209135,6051.37328584685,5893.678856596838
2009-05-29,1364.4744356247863,1657.777879612452,1614.1536472541902,1733.0873511233322,1270.3703549383451,1614.1536472541902,3699.7080634568633,3777.451565567374,4439.583359100913,4159.4640390963,4587.133672469568,4439.583359100913,4116.093219303325,3967.3231602887145,6765.542038244838,6589.236885696531
2009-05-30,845.64468502573,2039.3092544178865,889.0671801277999,1012.2934476806971,1657.777879612452,889.0671801277999,2172.9556788401587,3607.7658526934792,2508.469427264669,2407.396046751508,3777.451565567374,2508.469427264669,3401.0732045419104,3278.14647902952,5700.559610538734,5552.007132989207
2009-05-31,1729.8389715198362,2434.3709872542277,1986.965880587859,1297.5331431265936,2039.3092544178865,1986.965880587859,3635.9291444641967,4242.380530175408,4300.124637218054,3283.047450952441,3607.7658526934792,4300.124637218054,3394.4168271547856,3271.7306864892257,5430.418451376205,5288.90565786182
2009-06-01,2112.71377313155,2623.891083018122,2573.1926508179968,2280.5246234197057,2434.3709872542277,2573.1926508179968,4834.823738293155,4695.205386720661,5863.218535613512,5099.921292356339,4242.380530175408,5863.218535613512,3412.958415880775,3289.602117106051,5235.569260218333,5099.134096282896
2009-06-02,2036.0871576342001,2432.1555456370925,2449.356120252616,2176.4405893789926,2623.891083018122,2449.356120252616,3766.7017641492016,5372.58854657996,4554.843373191297,3982.1500523433842,4695.205386720661,4554.843373191297,3598.674859730379,3468.6061166937234,5048.615629797954,4917.052342815525
2009-06-03,2173.981444634119,2321.697239772688,2654.0420073441937,2334.9595636210124,2432.1555456370925,2654.0420073441937,3443.9702460084436,5427.736878680619,4207.180680962172,3668.7472116007775,5372.58854657996,4207.180680962172,3637.927507242059,3506.4400357229174,4962.0257281746435,4832.718911661031
2009-06-04,2039.8894069243863,2266.6249743369817,2451.495495204813,2210.407379833653,2321.697239772688,2451.495495204813,3515.8966635657016,5434.354678532707,4248.418321707135,3753.2510817420803,5427.736878680619,4248.418321707135,3375.5255861737537,3253.5222412773533,5022.832198359838,4891.940809029838
