datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
2009-10-25,1318.6750253758162,1044.1539912545088,1977.5499171796016,2710.899844930151,2722.985384448124,2437.4401066064634
2009-10-26,1119.451211990665,3744.9120846424903,3487.668549940911,3596.380306083579,3325.3704874183286,5934.214436173501
2009-10-27,4744.01300737717,3855.195825635218,6536.727394388625,7257.260925001915,9174.953455156652,8250.853435356177
2009-10-28,4620.9028954534515,3393.6539782774375,5702.044978428125,8353.137510248993,7958.60316084857,6704.525168497572
2009-10-29,3644.0089485122767,5609.605369886219,7636.40110335989,7483.445321886001,6378.347082482014,8321.259570714436
2009-10-30,8375.038579445481,8167.286024658773,14123.134735945434,16675.678529463738,16396.25268371294,16086.737437196618
2009-10-31,9131.521254777148,7032.702335371312,19024.077453542217,20126.748004121906,18094.020685656997,15874.290529769969
2009-11-01,6172.00457691068,5282.645645151255,17709.778244745215,14409.408523203845,11945.852928283888,10970.38571721758
2009-11-02,5636.943997394473,4986.786983696216,16552.239113371426,14279.68014785917,12568.093632356853,11815.813247662336
2009-11-03,5299.325262023075,4624.481607623796,17017.587379245073,15116.505599926717,13803.564653649584,13011.47344044054
2009-11-04,4912.535657236613,4293.700972585925,14181.907017515827,12895.296784811802,11631.4930180926,10909.20429542851
2009-11-05,4542.168093544872,3957.15697444954,12449.621104910191,11236.415340070373,10141.285643783265,9467.952003774808
2009-11-06,4198.134727316859,3632.0910858946445,11065.306419535922,10051.880861983343,9057.167939736433,8413.425457646495
2009-11-07,3868.3902123763464,3410.2501015522366,10166.215925385595,9311.941013463209,8323.265854811092,7793.975312865187
2009-11-08,3655.7474765860106,3226.759601419098,9451.529149634827,8614.746687505714,7777.990928149626,7283.507918034857
2009-11-09,3459.1466041195063,3052.7156187376486,8684.533877662767,7997.6453493999925,7228.493311985936,6762.288565730614
2009-11-10,3269.8267282343313,2907.9347118444994,8131.790293777987,7513.734878455597,6781.329042011448,6363.510462580836
2009-11-11,3122.2800918052135,2777.5418623997184,7679.998153480816,7099.011067209311,6434.982512820596,6038.054716864017
2009-11-12,2982.2189672163495,2657.4655375808225,7229.241858781341,6718.726597742133,6093.670963771526,5722.00970674852
2009-11-13,2856.7713985058713,2551.7555245969274,6861.373552571114,6380.367503025602,5794.493010197872,5444.868743671628
2009-11-14,2734.440483076041,2437.901288691653,6534.153423904911,6086.322669276184,5533.309855429739,5196.243242812595
2009-11-15,2646.2965769669145,2378.8802239266565,6248.10708109438,5862.925392502706,5327.0132513775,5021.4050876524825
2009-11-16,2565.847111921115,2311.0456955142263,6004.33585518122,5630.479354497167,5122.551728592522,4831.6734646241175
2009-11-17,2480.7458820860234,2232.3112776039543,5756.939754496074,5388.977703287856,4916.533131118232,4634.894608962899
2009-11-18,2393.622436987157,2156.6987830999797,5509.586331923222,5172.229725787984,4715.209716227578,4446.869530153278
2009-11-19,2326.604304856861,2100.682397431955,5333.685339104726,5022.125091351827,4582.665532599067,4326.744859671289
2009-11-20,2589.035349572943,2125.349557722617,5098.539037335302,5060.581283776798,4868.42730372103,4387.800186310219
2009-11-21,2652.1291506501047,2519.4510539693506,5137.038522441882,5797.3720703199915,4813.431502973319,4662.481641941946
